2022-05-22 10:37:49.347 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2022-05-22 10:51:47.239 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9998"]
2022-05-22 10:51:47.240 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-22 10:51:47.240 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-05-22 10:51:47.294 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-22 10:51:47.295 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1621 ms
2022-05-22 10:51:47.524 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Starting...
2022-05-22 10:51:47.695 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Start completed.
2022-05-22 10:51:48.230 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-22 10:51:48.338 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-05-22 10:51:48.379 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-05-22 10:51:48.871 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-22 10:51:48.885 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-22 10:51:48.912 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-22 10:51:48.929 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9998"]
2022-05-22 10:51:48.954 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9998 (http) with context path ''
2022-05-22 10:51:48.958 [restartedMain] INFO  com.ghw.hospital.ManageApplication - Started ManageApplication in 4.602 seconds (JVM running for 5.784)
2022-05-22 10:55:34.596 [http-nio-9998-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-22 10:55:34.598 [http-nio-9998-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-05-22 10:55:34.608 [http-nio-9998-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2022-05-22 10:55:40.855 [http-nio-9998-exec-1] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653188140848&
2022-05-22 10:55:41.299 [http-nio-9998-exec-1] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:55:43.071 [http-nio-9998-exec-8] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653188143065&
2022-05-22 10:55:43.129 [http-nio-9998-exec-8] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:55:52.386 [http-nio-9998-exec-6] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653188152382&
2022-05-22 10:55:52.433 [http-nio-9998-exec-6] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:57:26.716 [http-nio-9998-exec-6] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653188246709&
2022-05-22 10:57:26.765 [http-nio-9998-exec-6] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:57:29.168 [http-nio-9998-exec-10] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data limit=10&sign=e30222a5efcbad4377150495c66c2baf&page=1&hoscode=1000_01&timestamp=1653188249164&
2022-05-22 10:57:29.233 [http-nio-9998-exec-10] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":{"content":[],"pageable":{"sort":{"unsorted":true,"sorted":false,"empty":true},"pageNumber":0,"pageSize":10,"offset":0,"unpaged":false,"paged":true},"totalElements":0,"totalPages":0,"last":true,"numberOfElements":0,"first":true,"sort":{"unsorted":true,"sorted":false,"empty":true},"size":10,"number":0,"empty":true},"ok":true}
